Team,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out 
Sri Lanka,49457.0,1578.0,77.0,50923.0,1673.0,80.0
India,57580.0,1733.0,83.0,58874.0,1705.0,70.0
Ireland,11741.0,407.0,15.0,10600.0,394.0,21.0
England,50715.0,1585.0,60.0,48582.0,1541.0,77.0
Pakistan,42378.0,1422.0,74.0,44789.0,1514.0,68.0
West Indies,38402.0,1262.0,52.0,40162.0,1348.0,70.0
Kenya,5478.0,202.0,12.0,4975.0,199.0,10.0
Australia,49453.0,1602.0,79.0,46666.0,1494.0,71.0
Scotland,5480.0,206.0,6.0,6160.0,225.0,10.0
Bermuda,2726.0,93.0,3.0,1947.0,104.0,6.0
Zimbabwe,21355.0,762.0,40.0,23693.0,697.0,29.0
Netherlands,4590.0,113.0,4.0,3863.0,188.0,13.0
South Africa,37092.0,1170.0,56.0,35640.0,1147.0,55.0
New Zealand,34473.0,1120.0,54.0,34505.0,1140.0,53.0
Bangladesh,29902.0,1047.0,56.0,29446.0,975.0,43.0
Canada,5550.0,221.0,11.0,5233.0,192.0,9.0
Africa XI,985.0,24.0,0.0,907.0,27.0,2.0
Asia XI,907.0,27.0,2.0,985.0,24.0,0.0
United Arab Emirates,1600.0,63.0,3.0,2112.0,58.0,1.0
Hong Kong,507.0,14.0,1.0,406.0,19.0,1.0
Afghanistan,3397.0,136.0,9.0,3300.0,123.0,8.0
